section_index,rule_id,error_token,rule
6.2.2.1.2,Egypto-Berber-CVʕ,ɡ,"CVʕ > ħʔ // C = ɡw | ^ @ Rule 1, Line 1"
6.2.2.1.2,Egypto-Berber-r_2,{,"r > ʔ / C_{t,w,j}# // C = {ɡ,m,n,r,w,ʃ,x} | ^ @ Rule 1, Line 1"
7.1,Kennebec-River-Abenaki-w_2,C,"w > ∅ / C_ // C = C:[-front,+back,+hi,-lo] | ^ @ Rule 1, Line 1"
7.2,St.-Francis-Abenaki-w_2,C,"w > ∅ / C_ // C = C:[-front,+back,+hi,-lo] | ^ @ Rule 1, Line 1"
7.11,Munsee-Delaware-ʔ,l,"ʔ > h / _C // C = l, or when reduplicated | ^ @ Rule 1, Line 1"
10.2.6.1,Kiput-V+stress,ə,"V[+stress] > V:[+long] / _C# // V = ə and/or C = h | ^ @ Rule 1, Line 1"
10.3.7,Shark-Bay-V,j,"V > e / C_# // C = j | ^ @ Rule 1, Line 1"
10.3.11.1,Anejom-C,t,"C > ∅ / _# // C = t | ^ @ Rule 1, Line 1"
17.5.1,Old-Irish-V,j,"V > ∅ / C_# // C = j | ^ @ Rule 1, Line 1"
17.7.1,Gothic-—-V-long,u,"V[- long] > ∅ / _# // V = u | ^ @ Rule 1, Line 1"
17.7.1,Gothic-—-V-long_2,u,"V[- long] > ∅ / %_C# // V = u | ^ @ Rule 1, Line 1"
17.7.2,West-Germanic-C,r,"C > C:[+long] / _j // C = r | ^ @ Rule 1, Line 1"
17.7.2.1.13,Yola-F,ʍ,"F > F[+ voice] / #_ // F = ʍ | ^ @ Rule 1, Line 1"
17.7.3,Proto-Norse-wuː-iː,N,"{wu,wu:[+long],u,u:[+long]} {i,i:[+long]} > {wo,wo:[+long],o,o:[+long]} {e,e:[+long]} / _(C)(C)a // CC = NC or one C = {ʀ,j} | ^ @ Rule 1, Line 1"
17.7.3.1,"Old-Norse-B,E",ɒ,"{V:[+back],V:[+front]} > ∅ / CC_{ʀ,s,t,θ}# // V:[+back] = ɒ | ^ @ Rule 1, Line 1"
17.7.3.1,"Old-Norse-B,E_2",ɒ,"{V:[+back],V:[+front]} > ∅ / CC_%# // V:[+back] = ɒ | ^ @ Rule 1, Line 1"
17.7.3.1,"Old-Norse-B,E_3",ɒ,"{V:[+back],V:[+front]} > ∅ / _%# // V:[+back] = ɒ | ^ @ Rule 1, Line 1"
17.7.3.1.3,Shetland-Norn-a_2,w,"a > o / _{C:[-front,+back,+hi,-lo],r} // C:[-front,+back,+hi,-lo] = w ?) | ^ @ Rule 1, Line 1"
17.7.3.1.3,Shetland-Norn-a_2,w,"a > ɔ / _{C:[-front,+back,+hi,-lo],r} // C:[-front,+back,+hi,-lo] = w ?) | ^ @ Rule 1, Line 1"
17.10.1.1,Central-Middle-Indo-Aryan-Cn,d,"Cn > CC / V_V // C = dʒ | ^ @ Rule 1, Line 1"
17.10.1.2,Eastern-Middle-Indo-Aryan-Cn,d,"Cn > CC / V_V // C = dʒ | ^ @ Rule 1, Line 1"
17.10.1.3,Northwestern-Middle-Indo-Aryan-Cn,d,"Cn > CC / V_V // C = dʒ | ^ @ Rule 1, Line 1"
17.10.1.4,Western-Middle-Indo-Aryan-Cn,d,"Cn > CC / V_V // C = dʒ | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-V_3,a,"V > ∅ / _# // V = a | ^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-N,P,"N > ∅ / V[+nas]_$C // C = P | ^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-C0C0,r,"C=0 0 > 0 // C = r | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-V_5,a,"V > ∅ / _[-stress] // V = a | ^ @ Rule 1, Line 1"
17.13,Proto-Tocharian-Kʷ,s,"C:[-front,+back,+hi,-lo,+round] > C:[-front,+back,+hi,-lo] / _{C,o,a} // C = syllabic | ^ @ Rule 1, Line 1"
17.13,Proto-Tocharian-H,s,"[-place] > ɛ / _[+son,-syll], when [+son,-syll] = syllabic | ^ @ Rule 1, Line 1"
17.13.1,Tocharian-A-V,V,"V > j / V_nʲtʲ // V = V:[+front] | ^ @ Rule 1, Line 1"
29.1.1.1.19,Proto-Southern-Athabaskan-VnC,ʔ,"VnC > V[+ nas]C / _#, unless C = ʔ | ^ @ Rule 1, Line 1"
30.3.1.1.8,Adángbe-V+-nas,N,"V[+ nas] > V[- nas] / C_ // C = N | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-o,{,"o > a / C_w // C = {C:[-front,+back,+hi,-lo],C[+pharyngeal]} | ^ @ Rule 1, Line 1"
36.1.1,Old-Mandarin-∅_2,{,"∅ > w / C_o# // C = {C:[-front,+back,+hi,-lo],C[+pharyngeal]} | ^ @ Rule 1, Line 1"
36.1.1.1,Modern-Pekingese-î,r,"i > e / _C# // C = r | ^ @ Rule 1, Line 1"
37.1.2.4.1,Mohawk-—-s_2,j,"s > z / {#,V}_{V,[+son,-syll]} // [+son,-syll] = j | ^ @ Rule 1, Line 1"
42.1.2,Livonian-V,ɑ,"V > ə / _[-stress] // V = ɑ | ^ @ Rule 1, Line 1"
